"l","t"
2.56539954204076,2.81561936299457
4.02176671600919,4.79529629970876
2.5005784078838,2.78501920178058
2.64917483955913,3.05465442382577
2.82089625460298,2.91949357881349
2.48304834157399,2.77495516485367
3.17071841348738,3.27462709911379
3.15808447058598,3.76092173708544
2.30576908352092,2.74591042376531
5.76555221031554,6.29267006829651
2.01384729423911,1.99370882129672
1.53118945096035,1.76555150692499
2.11932340783755,2.52694509978295
5.30874931102679,6.32212053431028
5.60719492354254,6.66134756916854
7.13154695762639,8.48255967617673
2.66427272445352,3.09390248487784
7.3138988657553,6.40031453422033
2.70914695762892,2.77744239871559
2.67518348728846,2.9328269976414
2.94625463700425,2.9021348439476
2.51507508200096,2.74807702103584
2.98930491869075,3.24094883939027
2.5944420666298,3.08593770570858
1.89192943754705,2.25581513593658
4.34050219722576,5.16277451881186
1.38688859538951,1.65363687632757
1.21635590123759,1.44854242867917
2.83776401734695,2.57288854153723
4.46499589986012,5.20349878888573
4.47845190993921,5.32685766617891
6.08017942439121,6.7717998339157
3.7193715069077,2.90930248517178
4.2391390724517,5.04833560742395
2.65382154679479,2.93899491300969
3.35617481923704,3.11790231311301
2.71328303692717,3.0496430097389
2.69551283097638,3.03663462717236
3.06920943668748,3.39901939988406
2.8470578566347,3.39052418625476
2.08423935951997,2.48209355560817
4.77944940919749,5.68487665771172
1.51407564227475,1.8052865413546
1.33641455586178,1.59151871956273
2.95139759494189,3.03532506065325
6.67648263934768,4.95728835971565
5.78048107154726,5.22642942640542
6.35495963694158,6.65437600445133
3.0484977007035,3.6084934739849
5.01279306488492,4.82143128841385
3.36303433730282,2.85872502514353
4.1412181352685,4.0027691266042
2.89943566595234,2.96942204409601
2.57316930822612,2.84967597626262
3.20663545743998,3.30823517035466
3.48405128038806,4.05548534430919
2.48307867239916,2.96066351194455
6.14203547998514,6.78670684772653
1.73429132511568,2.04792641897093
1.59663084705004,1.90372006471258
3.07151377125528,3.66227572652957
3.64758887866396,4.30204796627984
3.80832841553147,4.53528879715965
5.4232843285576,6.20953384394778
7.92963575989947,5.35988690226033
3.74735081709614,4.28562256223563
3.23857079444848,3.606958222317
5.56528480849825,5.49298654663558
3.34953887375332,3.619496196434
2.93015887291401,3.41886751350359
3.43328409890754,4.03472631335645
2.59126687136483,3.07842504318142
1.94760763790316,2.25100264847746
4.5462627698171,5.1512047869338
1.36987915596503,1.63335591333495
1.51155088369295,1.44533758156825
3.53047109778671,3.75294438496827
3.5794341967672,4.16156993624144
3.69741916161695,4.39253396400094
4.95223866828019,5.59825734576865
3.02433865068453,2.63480383247636
3.48994806355291,3.85191227149573
4.9986212365606,5.09796948382211
2.57861782759379,2.86867574667954
5.24910246235858,5.42684105839414
4.8433217363443,5.16533148399462
7.3500473444184,6.05868915245119
2.5029288265503,2.98070539842278
1.89042000916347,2.17720405520695
4.20871327320905,4.98785958775355
1.42517817451306,1.58189935315997
1.17514627988524,1.39946642638581
2.56823464410502,2.89657856695895
4.30205709351293,5.02556157014544
4.57388207651018,5.3051619209321
5.82414666469313,6.73936971200205
2.95685804637071,2.69082318593123
5.30925560442496,6.30739565805685
2.55480830852174,2.57609837775942
2.92955381151723,3.30789826113829
2.61045066646165,2.6988425086488
2.547031874476,2.56825714009664
3.51777006484762,3.01378185363387
